#time(s),x(m),y(m),z(m),qx,qy,qz,qw,gt_x(m),gt_y(m),gt_z(m),gt_qx,gt_qy,gt_qz,gt_qw
0.000000,0.000000,0.000000,0.004000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
1.000000,0.003409,0.000000,0.829697,0.000000,0.000000,0.000000,1.000000,0.003409,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
2.000000,0.026968,0.000000,1.517643,0.000000,0.000002,0.000000,1.000000,0.026968,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
3.000000,0.090680,0.000000,2.056422,0.000000,0.000012,0.000000,1.000000,0.090677,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
4.000000,0.214546,0.000000,2.430478,0.000000,0.000041,0.000000,1.000000,0.214536,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
5.000000,0.418567,0.000000,2.640668,0.000000,0.000106,0.000000,1.000000,0.418544,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
6.000000,0.722735,0.000000,2.707966,0.000000,0.000234,0.000000,1.000000,0.722703,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
7.000000,1.147042,0.000000,2.665870,0.000000,0.000458,0.000000,1.000000,1.147012,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
8.000000,1.711483,0.000000,2.549948,0.000000,0.000825,0.000000,1.000000,1.711471,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
9.000000,2.436055,0.000000,2.390503,0.000000,0.001388,0.000000,0.999999,2.436080,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
10.000000,3.340758,0.000000,2.209702,0.000000,0.002218,0.000000,0.999998,3.340839,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
11.000000,4.445588,0.000000,2.021792,0.000000,0.003395,0.000000,0.999994,4.445748,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
12.000000,5.770532,0.000000,1.834643,0.000000,0.005009,0.000000,0.999987,5.770807,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
13.000000,7.335561,0.000000,1.651466,0.000000,0.007156,0.000000,0.999974,7.336015,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
14.000000,9.160614,0.000000,1.472267,0.000000,0.009925,0.000000,0.999951,9.161374,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
15.000000,11.265592,0.000000,1.294960,0.000000,0.013381,0.000000,0.999910,11.266883,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
